title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
Kota Factory,9.2,"Comedy,Drama",2,10,2019–2021,45 minutes,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Abhishake Jha,Sachin Vidrohi,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma,Jaiti Khera,Avi Singh",13,India,Hindi
Philadelphia,8.8,Comedy,15,162,2005– ,22 minutes,"The gang, 5 raging alcoholic, narcissists run a failing dive bar in south philly. The gang make up some scheme for sex, money, fame or for any other terrible reason you could think of. It always goes south however, as the gang (sometimes literally) have their plans blow up in their face.","Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,David Zdunich,Sandy Martin,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",10,United States,English
La Forêt de l'Étrange,8.8,"Animation,Adventure,Drama",1,10,2014,22 minutes,"Somewhere, lost in the clouded annals of history, lies a place that few have seen. A mysterious place called The Unknown... Two Brothers, Wirt and Greg find themselves lost in the strange woods, adrift in a time. With the help of a shadowy Woodsmen and a foul-tempered bluebird named Beatrice, they travel through the foggy land in Hope of finding a way home.","Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Noureen DeWulf,Bebe Neuwirth,Deborah Voigt",TV-PG,United States,English
Black Mirror,8.8,"Drama,Sci-Fi,Thriller",5,22,2011– ,1 hour,"Set in a world only minutes from our own, ""Black Mirror"" unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies.","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell,Alex Lawther,Malachi Kirby",16,United Kingdom,English
Orgueil et préjugés,8.8,"Drama,Romance",1,6,1995,5 hours 27 minutes,Jane Austen's classic novel about the prejudice that occurred between the 19th century classes and the pride which would keep lovers apart.,"Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",TV-PG,United Kingdom,English
Twin Peaks,8.8,"Crime,Drama,Mystery",2,30,1990–1991,47 minutes,The body of a young girl (Laura Palmer) is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",Tous publics,United States,"English,Icelandic,Afrikaans,Norwegian"
Friends,8.8,"Comedy,Romance",10,235,1994–2004,22 minutes,"Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six twenty-somethings living in New York City. Over the course of 10 years and seasons, these friends go through life lessons, family, love, drama, friendship, and comedy.","Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Aisha Tyler,Giovanni Ribisi",Tous publics,United States,"English,Spanish,Italian,French,Dutch,Hebrew"
Nathan for You,8.9,"Documentary,Comedy",4,32,2013–2017,30 minutes,"In this docu-reality comedy, Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Nathan Fielder,Anthony Filosa,Brian S. Wolfe,Simon Kellog,William Heath,Salomon Flores,Tony Napoli,James Bailey,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",TV-14,United States,English
"Monty Python's Flying Circus ; Absurde, n'est-il pas?",8.8,Comedy,4,45,1969–1974,30 minutes,"The irreverent Monty Python comedy troupe present a series of skits which are often surreal, bawdy, uncompromising and/or tasteless, but nearly always hilarious.","Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,Monty Python,Ian Davidson,John Hughman,The Fred Tomlinson Singers,Bob Raymond,Connie Booth,Lyn Ashley,Frank Lester,Rita Davies,Maureen Flanagan,Donna Reading",Tous Public,United Kingdom,"English,Arabic,French,German,Italian,Mandarin,Spanish"
Le bateau,8.8,"Drama,Thriller,War",1,3,1985–1987,4 hours 53 minutes,"""The Boat"" is the story of the crew of one of the hundreds of U-boats deployed by the Germans in World War II. Subject to countless hours of claustrophobic confinement and unending assault by enemy ships, the crew struggles for survival.","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",TV-MA,"West Germany,France,United Kingdom,Italy","German,French,English"
