title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
The Night Of,8.5,"Crime,Drama,Mystery",1,8,2016,8 hours 45 minutes,"Naz is a strait-laced Pakistani-American student who is off to a must-attend party on a Friday night. His only available transportation being his father's taxi cab, Naz sets off into Manhattan. But his party-going plans are quickly forgotten when a mysterious young woman jumps aboard in need of a ride. Charmed by her intense intrigue and good looks, Naz gets swept up by her pressures. After a mind-altering night of drugs and passion, the woman is dead, and Naz finds himself in the crosshairs of a gruesome murder investigation, panicked and shaken, but possibly with a trace of doubt as to his own innocence.","Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,David Cheekz Weeks,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar",TV-MA,United States,English
Chef's Table,8.5,Documentary,6,30,2015–2019,50 minutes,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.","Massimo Bottura,Ruth Reichl,Francis Mallmann,Dan Barber,Bill Buford,Niki Nakayama,Magnus Nilsson,Lara Gilmore,Ben Shewry,David Chang,Grant Achatz,Dominique Crenn,Enrique Olvera,Daniel Humm,Ana Ros,Gaggan Anand,Alex Atala,Anna Morelli",TV-MA,United States,English
The Office,8.5,"Comedy,Drama",3,14,2001–2003,30 minutes,"A mockumentary about life in a mid-sized suboffice paper merchants in a bleak British industrial town, where manager David Brent thinks he's the coolest, funniest, and most popular boss ever. He isn't. That doesn't stop him from embarrassing himself in front of the cameras on a regular basis, whether from his political sermonizing, his stand-up 'comedy', or his incredibly unique dancing. Meanwhile, long-suffering Tim longs after Dawn the engaged receptionist and keeps himself sane by playing childish practical jokes on his insufferable, army-obsessed deskmate Gareth. Will the Slough office be closed? Will the BBC give David a game show? Will Tim and Dawn end up with each other? And more importantly, will Gareth realize what a hopeless prat he is?","Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Stirling Gallacher,Ralph Ineson",TV-MA,United Kingdom,English
Spartacus: les dieux de l'arène,8.5,"Action,Adventure,Biography",1,6,2011,5 hours 31 minutes,"Before Spartacus struck down his first opponent in the arena, there were many gladiators who passed through the gates onto the sand.'Spartacus: Gods of the Arena' tells the story of the original Champion of the House of Batiatus: Gannicus, in a more ruthless time before Spartacus' arrival where honor was just finding its way into the arena.","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",16,United States,"English,Assyrian Neo-Aramaic"
Shameless,8.5,"Comedy,Drama",11,134,2011–2021,46 minutes,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have.","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",Tous publics,United States,English
Hannibal,8.5,"Crime,Drama,Horror",3,39,2013–2015,44 minutes,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",12,United States,English
The Expanse,8.5,"Drama,Mystery,Sci-Fi",6,62,2015– ,1 hour,"Two hundred years from now, the solar system's been colonized, and police detective, Josephus Miller's given the assignment of finding a missing woman. Meanwhile, an officer of an ice freighter sees what appears to be an unprovoked attack upon the ship, by a craft from Mars. As news of the attack spreads, the incident's repercussions threaten to destabilize an already tenuous relations between Earth, Mars and the asteroid belt.","Wes Chatham,Steven Strait,Dominique Tipper,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Chad L. Coleman,Nadine Nicole,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,Anna Hopkins,David Strathairn",13,"Canada,United States",English
Génération Kill,8.5,"Drama,War",1,7,2008,1 hour 10 minutes,"Following multiple recon marines during the invasion of Iraq in 2003, a group of mixed personalities, you see the dysfunctionality of the military, and on other times, how formalized and heroic it can be. A Rolling Stones reporter joins reconnaissance marines invading Iraq and recounts the mix of horrors and hilarity he encounters during his time there.","Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger",TV-MA,"United States,United Kingdom",English
Impractical Jokers,8.5,"Comedy,Reality-TV",9,258,2011– ,30 minutes,"Each episode contains a regime of multiple challenges in teams, independently or against specific jokers in a head-to-head challenge. Every time they fail to complete a task, the joker will receive a red thumbs-down. The joker with the most thumbs down after the series of challenges is the loser who must complete an extremely embarrassing or difficult task and cannot refuse to try it. These Loser Challenges have consisted of dangerous stunts and some scary scenes.","Brian Quinn,James Murray,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Drew Patterson,Bill St. James,Joey Fatone,John Szeluga,Cole Weber,Frank Contacessa,Jay Miller,Daniel Cast,Chase Dominick,Johnna Scrabis,Steven Hopper,Andrew Hood",TV-14,United States,English
Les enquêtes de Morse,8.6,"Crime,Drama,Mystery",8,33,2012– ,1 hour 29 minutes,"Series 1 follows the early police career of young Endeavour Morse, who upon leaving his Oxford College without a degree, spending time in the Royal Signal Corps., and eventually joining the Oxfordshire Police, is transferred to CID, attaining the rank of Detective Constable. Originally starting out his career at Carshall-Newtown Police, Morse transfers to the Oxford City Police in 1965 following a murder investigation during the pilot episode. While with the Oxford City Police, Morse is taken under the wing of veteran Detective Inspector Fred Thursday. Inspector Thursday names Morse his designated ""bag man"" and shows him the ropes as Morse begins to solve a string of complex murders, much to the envy and annoyance of some of his superiors, particularly Detective Sergeant Jakes and Chief Superintendent Bright. Thursday and Morse's fellow officer, Police Constable Strange, try to steer the young Endeavour into taking his Sergeant's exam, so that he may be relieved of ""General Duties"" and become Thursday's official ""bag man"" with the appropriate rank and title.","Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Shvorne Marks,Lewis Peek,Simon Harrison,Carol Royle,Richard Riddell,Mark Arden,Flora London",Tous publics,United Kingdom,English
Skam,8.6,"Drama,Romance",4,43,2015–2017,30 minutes,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi",18,Norway,Norwegian
Detectorists,8.6,Comedy,3,19,2014–2017,30 minutes,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",Tous publics,United Kingdom,English
Louie,8.5,"Comedy,Drama",5,61,2010–2015,22 minutes,"Louie is a stand-up comedian and divorced father of two girls. This series follows him through his everyday life, as he meets various characters, struggles with his love life and pursues humor.","Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin,Parker Posey,Amy Landecker",TV-MA,United States,English
Doctor Who,8.6,"Adventure,Drama,Family",13,200,2005– ,45 minutes,"The Doctor, a Time Lord from the race whose home planet is Gallifrey, travels through time and space in their ship the TARDIS (an acronym for Time and Relative Dimension In Space) with numerous companions. From time to time, the Doctor regenerates into a new form.","Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Arthur Darvill,Simon Carew,Bradley Walsh,Tosin Cole,Ruari Mears,Freema Agyeman",Tous publics,United Kingdom,English
Homicide,8.6,"Crime,Drama,Mystery",7,122,1993–1999,1 hour,"A one-hour drama inspired by David Simon's acclaimed non-fiction book ""Homicide: A Year on the Killing Streets."" It is at once a mundane yet compelling look in and around a Homicide unit of the Baltimore Police Department, a group of determined individuals who are committed to their grim job at hand.","Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Toni Lewis,Isabella Hofmann,Callie Thorne,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",TV-14,United States,English
Letterkenny,8.6,Comedy,9,61,2016– ,30 minutes,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Jared Keeso,Nathan Dales,Michelle Mylett,Andrew Herr,K. Trevor Wilson,Dylan Playfair,Tyler Johnston,Evan Stern,Patrick McNeil,Lisa Codrington,Jacob Tierney,Kamilla Kowal,Dan Petronijevic,Mark Forward,Jay Bertin,Joel Gagne,Kaniehtiio Horn,Clark Backo",TV-MA,Canada,English
Brass Eye,8.6,Comedy,2,7,1997–2001,25 minutes,"Controversal spoof of current affairs television, and the role of celebrity in the UK.","Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz",TV-MA,United Kingdom,English
Silicon Valley,8.5,Comedy,6,53,2014–2019,28 minutes,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. A comedy partially inspired by Mike Judge's own experiences as a Silicon Valley engineer in the late 1980s.","Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",Tous publics,United States,English
Six sexy,8.5,"Comedy,Romance",4,28,2000–2004,30 minutes,"On average, men and women think about sex every six seconds. Shorten that to every second, and you've got Coupling. It's more than just a one night stand! When a couple gets together, it's never just the two of them - they also bring baggage - and Susan and Steve are no exception. Their baggage is a crowd of best friends and exes who talk about all aspects of sex and relationships on their never-ending quest to find true love. Perhaps, perhaps, perhaps... Susan Walker is a beautiful go-getter with an uninhibited attitude who used to date Patrick Maitland, the sextet's charismatic, cocky player, London's king of conquests - a guy who's just too cool to worry about being smart. Attractive Sally Harper is a beauty therapist who is Susan's unashamedly vain best friend, who aggressively battles aging with heavy doses of moisturizer and men - including Patrick. Meanwhile, Steve Taylor, while getting together with Susan, can't seem to shake loose from his vivacious and slightly vacuous ex-girlfriend Jane Christie, a woman supremely confident in her ability to seduce anyone of either sex, and who refuses to be dumped unless she's the one doing the dumping. Jeff Murdoch is Steve's ""porn buddy"" who is, in equal parts, obsessed and bewildered by actual sex; charming in his way, but with an uncanny ability to say the wrong thing at the worst possible time. He works in the same office as Susan, with whom he had a disastrous and unsuccessful one-night fling. Coupling has been honoured with the prestigious Silver Rose of Montreux, Best TV Comedy Award, and is recent winner at the 2003 British Comedy Awards. With a new guy on the scene, a baby on the way, commitment in the air, and love on the horizon, the dynamics of the six friends are definitely changing. At the end of last season Susan and Steve discovered they were pregnant (well, mostly Susan), confirmed bachelor Patrick and Sally finally admitted their true feelings for each other, and poor Jane was left on her own, once again. But it's not all doom and gloom for Jane. As the new season opens, things are looking up. There's this guy called Oliver, who has his eye on her. Is it possible that lifetime loser in love Oliver might just get somewhere with lifetime loser in love Jane? Trouble is, his apartment is a little ""un-edited"" and his living room has lost the battle with magazine nudity... Susan and Steve are now well and truly an item. So why is he dreaming about being executed by a fetus with an axe? Meanwhile Sally and Patrick are settling into their new relationship. But since the dawn of time, men and women have been falling in love - and men have been trying to get home straight afterwards. Can fallen playboy Patrick ever find his way back from the enchanted glade of his one true love and get a decent night's sleep?","Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,Raji James",TV-14,United Kingdom,English
Alfred Hitchcock présente,8.5,"Comedy,Crime,Drama",7,268,1955–1962,25 minutes,"Sir Alfred Hitchcock, the Master of Suspense hosts his own television show. Hitchcock introduced the show, which was then followed by a short half an hour episode which contained suspense, horror, and humor. After the story, Hitchcock would come back and end the show.","Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Lillian O'Malley,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis",Tous Public,United States,English
Mystery Science Theater 3000,8.5,"Comedy,Sci-Fi",11,199,1988–1999,1 hour 32 minutes,"When zany mad scientist Dr. Clayton Forrester and his loopy assistant Frank get bored with their work at the Deep Thirteen research center, they kidnap Joel the janitor and shoot him into orbit on the Satellite of Love. While in space Joel builds wacky robot sidekicks Tom Servo and Crow T. Robot to help him withstand an onslaught of grade 'Z' movies that the mad scientists force him to watch.","Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott",TV-14,United States,English
The IT Crowd,8.5,Comedy,5,25,2006–2013,25 minutes,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.","Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",13,United Kingdom,English
"Yes, Prime Minister",8.6,Comedy,2,16,1986–1987,30 minutes,"Following on from Yes Minister, Jim Hacker is now Prime Minister and Sir Humphrey Appleby is Cabinet Secretary. Bernard is also along for the ride, as Hacker's personal secretary. As in their previous roles, their jobs often devolve into a battle of agendas, ideals, wills and wits between Hacker and Sir Humphrey.","Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Michael Aldridge,John Barron,Clive Francis,Frank Middlemass,John Wells",TV-PG,United Kingdom,English
Mr. Robot,8.5,"Crime,Drama,Thriller",4,45,2015–2019,49 minutes,"Elliot is a brilliant introverted young programmer who works as a cyber-security engineer by day and vigilante hacker by night. He also happens to be suffering from a strange condition similar to schizophrenia which he futilely tries to keep under control by regularly taking both legal and illegal drugs and visiting his therapist. When a strange feisty young woman named Darlene and a secretive middle-aged man calling himself Mr. Robot, who claims to be the mysterious leader of an underground hacking group known as F-Society, offer Elliot a chance to take his vigilantism to the next level and help them take down E-Corp, the corrupt multi-national financial company that Elliot works for and likes to call Evil Corp, Elliot finds himself at the crossroads. Mr. Robot, who has personal reasons for wanting to take down E-Corp, also reveals that he already has one ally, an even more mysterious, secretive and highly dangerous shadowy hacking group known only as Dark Army. Meanwhile, Elliot's childhood and only friend, Angela, who blames E-Corp for the death of their parents, tries to take down E-Corp legally by joining their ranks and trying to dig up evidence of their corruption from the inside. A wild card in this scheme becomes Tyrell Wellick, an unhinged psychopathic E-Corp yuppie, originally from Scandinavia, who has a very unusual relationship with his dominant and ambitious wife Joanna. After many twists and turns, Mr. Robot's plan is finally put in motion - with catastrophic (un)intended results. But that's just the end of the beginning of the real story.","Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm",Tous publics,United States,"English,Swedish,Danish,Chinese,Persian,Spanish,Samoan,Arabic,German"
Fullmetal Alchemist,8.5,"Animation,Action,Adventure",1,51,2003–2004,24 minutes,"The Elric brothers' mother is dead and their father has long since abandoned them. Deciding to perform a forbidden human transmutation to bring their mother back, they end up losing their bodies. Now Edward must join the military in order to gain certain alchemical privileges, with his one goal being to restore his brother to his original state. But with war on the horizon it's only a matter of time before they are both forced to question their morals and ultimately decide the value of human life.","Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto",Tous Public,Japan,Japanese
Mob Psycho 100,8.6,"Animation,Action,Comedy",2,25,2016– ,24 minutes,"Kageyama Shigeo (a.k.a.""Mob"")is a 8th grader with psychic abilities.He could bend spoon and lift each objects with his mind from young age, but he slowly begin to withhold from using his ability on public due to the negative attention he keep receiving.Now, the only thing he wants is to become a friend with a girl in his class, Tsubomi. With his psychic""mentor""( who has no psychic power), he continues his daily lifes, attempting to realize his purpose on life.","Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Miyu Irino,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Yoshimasa Hosoya,Daiki Hamano,Seiichiro Yamashita,Kyle McCarley,Chris Niosi,Toshihiko Seki,Kôhei Amasaki,Max Mittelman,Landon McDonald,Jade Dennis,Atsumi Tanezaki,Chris Hackney",10,Japan,Japanese
Soleil noir,8.8,"Crime,Drama,Thriller",2,20,2017– ,1 hour,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic",Tous publics,Serbia,"Serbian,Russian,Macedonian,German,Slovenian"
Dragon Ball,8.5,"Animation,Action,Adventure",9,153,1995–2003,24 minutes,"Follows the adventures of an extraordinarily strong young boy named Goku as he searches for the seven dragon balls. These balls, when combined, can grant the owner any one wish he desires. Along the way he makes many new friends, and enemies, and he trains to become the strongest fighter in the world.","Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber",TV-14,Japan,"English,Japanese"
Adventure Time avec Finn et Jake,8.6,"Animation,Action,Adventure",10,289,2010–2018,11 minutes,"Prof. Simon Petrikoff is driven insane by an ancient magic crown the magic, which is the only thing that keeps him and his adopted demon daughter marceline alive after the human world is destroyed. 1000 years later a new world is formed a kingdom of candy run by a harsh ruler Bonnibel bubblegum and monsters and demons roam the lands. Finn and Jake two adventurers become great friends with Marceline, Bubblegum and Simon and they uncover secrets about their past as Finn (the last human) searches for that of his own. As the evil Lich resurfaces, Simon's time displaced fiance Betty goes insane and Finn's sentient grass arm becomes a conflicted volitle plant clone. Finn, Jake, Simon, Marceline and Bubblegum must do whatever they can to save the world from another apocalypse when Bonnibel's evil uncle declares war.","John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland",Tous publics,"United States,South Korea","English,Korean"
Pose,8.6,Drama,3,26,2018–2021,1 hour,"Set in the 1980s, 'Pose' is a dance musical that explores the juxtaposition of several segments of life and society in New York: the ball culture world, the rise of the luxury Trump-era universe, and the downtown social and literary scene. Blanca forms a 'house', a self-selected family that provides support to LGBTQ youth who have been rejected by their birth families. Damon is a dancer who joins Blanca's house. Together, they compete in the balls -- where house members challenge each other in various categories and are judged on their outfits, attitude, or dance skills -- against Blanca's former house mother, Elektra. Pray Tell is Godfather to the children who compete in the balls. Angel is a streetwalker who develops feelings for a new client, Stan, who has a loving wife, Patty. James Van Der Beek co-stars as Stan's boss, Matt.","Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard",12,United States,English
Flight of the Conchords,8.5,"Comedy,Music,Musical",2,22,2007–2009,28 minutes,"Two New Zealander friends experience life, love, friendship, all the usual stuff, while trying to make their lives as a rock band. A rock band that can only schedule a performance at the local aquarium, is run by an eager and overambitious New Zealand buddy, and has only one fan.","Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",TV-MA,"United States,New Zealand",English
Dragon Ball,8.5,"Animation,Action,Adventure",1,153,1986–1989,24 minutes,"What starts off as a bizarre re-telling of the Chinese legend ""Journey to the West"" quickly transforms into pure madness. On a twisted version of Earth, the ridiculously strong child-fighter Son Gokû is joined by several companions in the quest for the seven ""dragon balls"", which, when assembled, will summon the Grand Dragon, who will grant the bearer of the balls one single wish. The problem is, the Grand Dragon can only be invoked once a year, and villains battle Goku and friends constantly for possession of the Dragon Balls.","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Naoki Tatsuta,Mami Koyama,Kenji Utsumi,Hirotaka Suzuoki,Noeli Santisteban,Daisuke Gôri,Takeshi Aono,Tesshô Genda,Hiroko Emori",Tous Public,Japan,Japanese
Twin Peaks: The Return,8.5,"Crime,Drama,Fantasy",1,18,2017,1 hour,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",12,United States,"English,French"
Boardwalk Empire,8.5,"Crime,Drama,History",5,57,2010–2014,55 minutes,"Set in the Prohibition era of the 1920s Boardwalk Empire is the story of Enoch ""Nucky"" Thompson, the treasurer of Atlantic County, Atlantic City, New Jersey. Due to his relationships with mobsters as well as political contacts, the Federal Government start to take an interest in him. His lavish lifestyle seems at odds with his position, and as well as his connections, there is prolific bootlegging in the area.","Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",16,United States,English
Samurai chanpurû,8.5,"Animation,Action,Adventure",1,26,2004–2005,24 minutes,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz",Tous publics,Japan,Japanese
